sourceFile,package,className,symbolType,publicSymbol,responsibility,configurationProperty,springBean,autoConfigured,commonOverlap,knownConsumer,testFile,status,notes
NucleusHeaders.kt,nucleus.core,NucleusHeaders,object,CORRELATION_ID/SESSION_ID/CONSENT_VERSION/IDEMPOTENCY_KEY/REQUEST_TIMING,Constantes de headers HTTP propagés par Nucleus,,,false,Yes (Common GlobalExceptionHandler uses X-Correlation-Id),,MISSING_TEST,PUBLIC_STABLE,
ConstantHeader.kt,nucleus.enum,ConstantHeader,object,CONSENT_VERSION/LATENCY_*/SAFETY_SCORE/TRACE_ID/CORRELATION_ID/etc,Constantes globales headers HTTP organisées par principes Nucleus7,,,false,Yes (Common uses CORRELATION_ID),,MISSING_TEST,PUBLIC_STABLE,Duplicate de NucleusHeaders pour plusieurs constantes
NucleusHeader.kt,nucleus.enum,NucleusHeader,enum,NucleusHeader.CONSENT_VERSION etc,Enum des headers HTTP Nucleus7 avec from() lookup,,,false,No,,MISSING_TEST,PUBLIC_STABLE,Redondant avec ConstantHeader
Problem.kt,nucleus.problem,Problem,data class,Problem(code/message/timestamp/path/errorId/details),Modèle d'erreur standardisé RFC 9457,,,false,Yes (Common GlobalExceptionHandler imports and uses Problem),,MISSING_TEST,PUBLIC_STABLE,Utilisé par Common — propriété Nucleus
NucleusOp.kt (core),nucleus.annotation,NucleusOp,annotation,@NucleusOp(code/surface),Marque une méthode comme opération Nucleus observable,,,false,No,,MISSING_TEST,PUBLIC_STABLE,Annotation core (code+surface)
NucleusOp.kt (obs),nucleus.observability.autoconfigure,NucleusOp,annotation,@NucleusOp(value=MultiplannerOperation/extraTags),Marque une méthode avec opération cataloguée + tags,,,false,No,,MISSING_TEST,PUBLIC_STABLE,Annotation observability (catalogue)
MultiPlannerSignature.kt,nucleus.annotation,MultiPlannerSignature,annotation,@MultiPlannerSignature(version/module),Marque un contrôleur avec version et module API,,,false,No,,MISSING_TEST,PUBLIC_STABLE,
ContractIntrospector.kt,nucleus.contract,ContractIntrospector,class,snapshot(): Map<String Any>,Introspection du contrat OpenAPI (data classes),multiplanner.contract.model-package,@Component,false,No,,MISSING_TEST,PUBLIC_EXPERIMENTAL,Scan classpath par réflexion
ContractIntrospector.kt,nucleus.contract,ContractParamInfo,data class,name/type/nullable/hasDefault/required,Description paramètre contrat,,,false,No,,MISSING_TEST,PUBLIC_EXPERIMENTAL,
ContractIntrospector.kt,nucleus.contract,ContractClassInfo,data class,name/qualifiedName/required/optional/params,Description data class contrat,,,false,No,,MISSING_TEST,PUBLIC_EXPERIMENTAL,
RequestMetaDom.kt,nucleus.domain,RequestMetaDom,data class,correlationId/consentVersion/idempotencyKey + resolvedCorrelationId(),Métadonnées de requête immuables,,,false,No,,MISSING_TEST,PUBLIC_STABLE,
AccountType.kt,nucleus.enum,AccountType,enum,PERSON/ORGANIZATION + decode/decodeOrDefault/requireValid/isOrganization,Type de compte MultiPlanner,,,false,No,,MISSING_TEST,PUBLIC_STABLE,
Audience.kt,nucleus.enum,Audience,enum,B2C/B2B/B2G/B2J/ADMIN/PUBLIC + decode(),Audience cible d'un plan,,,false,No,,MISSING_TEST,PUBLIC_STABLE,
AuthProvider.kt,nucleus.enum,AuthProvider,enum,KEYCLOAK/TEST/ANONYMOUS + fromString/fromIssuer,Fournisseur d'authentification JWT,,,false,Yes (Common security may use similar),,MISSING_TEST,PUBLIC_STABLE,
MultiplannerProject.kt,nucleus.enum,MultiplannerProject,enum,PLANILOISIR/PLANICOURSE/etc + description()/descriptor(),Catalogue des projets MultiPlanner,,,false,No,,MISSING_TEST,PUBLIC_STABLE,173 lignes
MultiplannerProject.kt,nucleus.enum,ProjectDescriptor,data class,code/title/summary/typicalUsers/keyFeatures/notificationTemplates,Descripteur de projet,,,false,No,,MISSING_TEST,PUBLIC_STABLE,
MultiplannerProject.kt,nucleus.enum,NotificationType,enum,REGISTRATION/REMINDER/INVITE,Type de notification,,,false,Yes (Common mail system),,MISSING_TEST,PUBLIC_STABLE,
OriginIdp.kt,nucleus.enum,OriginIdp,enum,LOCAL/GOOGLE/APPLE/FACEBOOK/MICROSOFT/OPENAI/UNKNOWN + fromKeycloakClaim/fromName/isSocialBroker,Fournisseur d'identité d'origine,,,false,Yes (Identity module),,MISSING_TEST,PUBLIC_STABLE,
PolicyEffect.kt,nucleus.enum,PolicyEffect,enum,ALLOW/DENY + fromString(),Effet de policy d'autorisation,,,false,No,,MISSING_TEST,PUBLIC_STABLE,
